period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,2852.8700,,2852.8700,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,63141066.6100,,18944316.9920,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,294581.8600,,13349396.4524,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,355946.3000,,9451361.4067,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,761410,,6844375.9847,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,1063088.2500,,5109989.6643,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,6129849,,5415947.4650,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,11568303.7000,10249827.8414,7261654.3355,53614592.5517,-33114936.8688,8503275.4425,-4581542.7375,0.0600,15.6100,15.6100,extreme,true,false
2026-04-09,09 Apr,3033326.7600,10414637.3237,5993156.0628,50988033.8627,-30158759.2152,18212748.9025,-10382681.0375,-0.3600,1.8700,1.8700,normal,false,false
2026-04-10,10 Apr,203853.6500,9594491.7056,4256365.3390,48127773.1908,-28938789.7797,14790703.0500,-8304907.7500,-0.4900,-0.5500,-0.5500,normal,false,false
2026-04-11,11 Apr,5.9000,8655427.9000,2979457.5073,45642975.4495,-28332119.6495,12924411.6450,-7258770.2350,-0.4700,-0.7600,-0.7600,normal,false,false
2026-04-12,12 Apr,9580,7868571.3545,2088494.2551,43484208.5682,-27747065.8591,11080143.0675,-6249337.4325,-0.4400,-0.6700,-0.6700,normal,false,false
2026-04-13,13 Apr,30846528,7213655.4083,10715904.3786,41588642.4639,-27161331.6473,9285715.4438,-5322972.8863,1.3800,36.9800,36.9800,extreme,true,false
2026-04-14,14 Apr,565339.5500,9031568.6846,7670734.9300,44378070.4561,-26314933.0869,15018842.0250,-8685139.3750,-0.4800,-0.1700,-0.4800,normal,false,false
2026-04-15,15 Apr,15395840,8426838.0321,9988266.4510,42765598.3343,-25911922.2700,13049492.5462,-7467238.4037,0.4100,15.1200,15.1200,extreme,true,false
2026-04-16,16 Apr,23954133.7400,9526337.1129,14178026.6377,43701121.0249,-24648446.7992,25056840.6075,-14538227.6125,0.8400,17.1300,17.1300,extreme,true,false
2026-04-17,17 Apr,1901790,6727270.4793,10495155.6464,26085847.4209,-12631306.4623,25056840.6075,-14538227.6125,-0.5000,0.7400,0.7400,normal,false,false
2026-04-18,18 Apr,520545,6842071.0607,7502772.4525,26065286.3765,-12381144.2551,24909283.1437,-14292298.5062,-0.6600,-0.4400,-0.6600,normal,false,false
2026-04-19,19 Apr,1870019,6853828.1107,5812946.4167,26061356.1505,-12353699.9291,24724109.6062,-13983675.9437,-0.5200,0.1800,-0.5200,normal,false,false
2026-04-20,20 Apr,71067136.3200,6933014.4679,25389203.3877,26048340.9664,-12182312.0307,24724109.6062,-13983675.9437,6.7100,26.2300,26.2300,extreme,true,false
2026-04-21,21 Apr,2747707.3600,11933303.6157,18596754.5794,49758367.2832,-25891760.0518,35299774.3563,-20329074.7938,-0.4900,0.0800,-0.4900,normal,false,false
2026-04-22,22 Apr,511738.7000,11691722.0700,13171249.8156,49704697.5809,-26321253.4409,35299774.3563,-20329074.7938,-0.5900,-0.5500,-0.5900,normal,false,false
2026-04-23,23 Apr,2544.2500,10901967.4271,9220638.1459,49349322.5198,-27545387.6656,29992118.8125,-17172966.8475,-0.5700,-0.8300,-0.8300,normal,false,false
2026-04-24,24 Apr,1671103,10685482.9621,6955777.6021,49341189.2495,-27970223.3252,30163279.7312,-17648647.9787,-0.4700,0.2500,-0.4700,normal,false,false
2026-04-25,25 Apr,3243275,10790286.4871,5842026.8215,49339562.6344,-27758989.6601,29813606.6875,-17065859.5725,-0.3900,0.6600,0.6600,normal,false,false
2026-04-26,26 Apr,9407,11021948.5657,4092240.8750,49347394.4393,-27303497.3079,30096631.4188,-17207189.0313,-0.5700,-0.9200,-0.9200,normal,false,false
2026-04-27,27 Apr,78912659.8000,11021936.2086,26538366.5525,49347396.2850,-27303523.8679,30096631.4188,-17207189.0313,3.5400,37.9300,37.9300,extreme,true,false
2026-04-28,28 Apr,4885417,14455231.3371,20042481.6868,65702680.9159,-36792218.2417,30096631.4188,-17207189.0313,-0.3700,1.4800,1.4800,normal,false,false
2026-04-29,29 Apr,4305265.8700,14763808.2979,15321316.9417,65724221.4644,-36196604.8687,30708308.8750,-17131890.1250,-0.4100,0.6500,0.6500,normal,false,false
2026-04-30,30 Apr,7181231.7000,13971624.4314,12879291.3692,65212146.5017,-37268897.6389,10638671.2937,-5090107.5762,-0.2700,1.7300,1.7300,normal,false,false
2026-05-01,01 May,124647,12773560,9052898.0585,63808373.8351,-38261253.8351,10638671.2937,-5090107.5762,-0.5000,-0.7800,-0.7800,normal,false,false
2026-05-02,02 May,6600387,12646621.2143,8317144.7409,63797677.0892,-38504434.6606,11080037.6313,-5825718.1387,-0.2400,1.3800,1.3800,normal,false,false
2026-05-03,03 May,80505.9000,13080895.6429,5846153.0886,63915028.4779,-37753237.1922,14226741.5875,-7253517.3125,-0.5100,-0.7300,-0.7300,normal,false,false
2026-05-04,04 May,11938510.0100,12953073.2786,7673860.1650,63908177.7541,-38002031.1969,15096981.3625,-8703916.9375,-0.0400,2.0900,2.0900,mild,true,false
2026-05-05,05 May,884184,8729599.9707,5636957.3155,48231991.1926,-30772791.2512,15096981.3625,-8703916.9375,-0.4000,-0.4900,-0.4900,normal,false,false
2026-05-06,06 May,1336555,8596491.1593,4346836.6209,48191063.8539,-30998081.5353,15096981.3625,-8703916.9375,-0.3700,-0.3100,-0.3700,normal,false,false
2026-05-07,07 May,2462980.7000,8655406.6093,3781679.8446,48204112.6034,-30893299.3848,14957314.3750,-8471138.6250,-0.3100,0,-0.3100,normal,false,false
2026-05-08,08 May,20573328,8831152.0700,8819174.2912,48246131.8599,-30583827.7199,13933196.1250,-6764274.8750,0.6000,5.0200,5.0200,extreme,true,false
2026-05-09,09 May,261455.8300,10181310.9986,6251858.7529,49817094.2414,-29454472.2443,16094136.1875,-8060838.9125,-0.5000,-0.7500,-0.7500,normal,false,false
2026-05-10,10 May,5644,9968323.9150,4377994.3270,49782591.6036,-29845943.7736,16964344.5038,-9511186.1063,-0.5000,-0.7000,-0.7000,normal,false,false
2026-05-11,11 May,18350093,9968055.1293,8569623.9289,49782591.7944,-29846481.5358,16964344.5038,-9511186.1063,0.4200,3.1200,3.1200,moderate,true,false
2026-05-12,12 May,529010.7800,5642157.5007,6157439.9842,18769046.3287,-7484731.3273,16964344.5038,-9511186.1063,-0.7800,-0.5900,-0.7800,normal,false,false
2026-05-13,13 May,10000300,5330985.6279,7310297.9890,18718818.6775,-8056847.4218,17097534.4612,-9733169.3688,0.7000,2.9400,2.9400,moderate,true,false
2026-05-14,14 May,11339081,5737773.7800,8518932.8923,19320882.8440,-7845335.2840,22746315.4612,-13122437.9687,0.8200,3.4300,3.4300,moderate,true,false
2026-05-15,15 May,10780676.0400,6034763.0157,9197455.8366,19909809.6491,-7840283.6177,27018447.5237,-15685717.2062,0.6800,3.2300,3.2300,moderate,true,false
2026-05-16,16 May,5400989.7300,6795907.9471,8058516.0046,20458083.6094,-6866267.7152,27071993.2725,-15254709.4275,-0.2000,0.1300,-0.2000,normal,false,false
2026-05-17,17 May,0,6710236.7136,5640961.2032,20391271.2186,-6970797.7914,27071993.2725,-15254709.4275,-0.9800,-0.6800,-0.9800,normal,false,false
2026-05-18,18 May,4760780.0100,6704486.2921,5376906.8453,20396725.5027,-6987752.9184,27071993.2725,-15254709.4275,-0.2800,0.1400,-0.2800,normal,false,false
2026-05-19,19 May,46130161,6191791.2921,17602883.0917,19596203.7282,-7212621.1439,25537248.9475,-14333862.8325,5.9600,8.2400,8.2400,extreme,true,false
2026-05-20,20 May,29489604.4200,9423646.7921,21168899.4902,33622514.3853,-14775220.8011,26902354.1475,-14971977.5525,1.6600,3.2900,3.2900,moderate,true,false
2026-05-21,21 May,5982810,11434578.8936,16613072.6431,37236992.4341,-14367834.6470,39974595.1100,-22364751.8500,-0.4200,-0.1600,-0.4200,normal,false,false
2026-05-22,22 May,79430118.3200,11685995.2721,35458186.3462,37200826.6621,-13828836.1178,39112920.3687,-20928627.2813,5.3100,6.3400,6.3400,extreme,true,false
2026-05-23,23 May,63644,15890051.7236,24839823.6423,59121546.2896,-27341442.8425,39112920.3687,-20928627.2813,-0.7300,-0.7000,-0.7300,normal,false,false
2026-05-24,24 May,37100.4900,15875922.3071,17399006.6966,59127963.7299,-27376119.1156,39112920.3687,-20928627.2813,-0.7300,-0.7000,-0.7300,normal,false,false
2026-05-25,25 May,3930618,15878169.1993,13358490.0876,59126915.7629,-27370577.3644,39112920.3687,-20928627.2813,-0.5500,-0.3600,-0.5500,normal,false,false
2026-05-26,26 May,19816417,14848206.6993,15295868.1613,58497364.2153,-28800950.8167,25929580.5225,-13350688.1775,0.2300,1.7700,1.7700,normal,false,false
2026-05-27,27 May,274685.8000,16225878.5721,10789513.4529,59192454.8056,-26740697.6613,38035469.7463,-16200228.2438,-0.7400,-0.8700,-0.8700,normal,false,false
2026-05-28,28 May,11005.9000,15531191.8436,7555961.1871,59186889.6339,-28124505.9467,42459704.2250,-23573952.3750,-0.7100,-0.6800,-0.7100,normal,false,false
2026-05-29,29 May,10806960,14722043.6221,8531260.8309,59072937.0261,-29628849.7818,43719097.7250,-26045211.5150,-0.1800,0.7600,0.7600,normal,false,false
2026-05-30,30 May,2058996.3000,14723921.0479,6589581.4717,59074149.1421,-29626307.0464,43735525.2000,-26055068.0000,-0.5700,-0.4000,-0.5700,normal,false,false
2026-05-31,31 May,649,14485207.2314,4612901.7302,59068948.8310,-30098534.3681,43735525.2000,-26055068.0000,-0.6500,-0.6800,-0.6800,normal,false,false
2026-06-01,01 Jun,8985,14485253.5886,3231726.7111,59068934.9438,-30098427.7666,43735525.2000,-26055068.0000,-0.6500,-0.6800,-0.6800,normal,false,false
2026-06-02,02 Jun,31534153,14145839.6593,11722454.5978,59091363.4841,-30799684.1655,43844527.3238,-26236738.2063,0.7700,6.4400,6.4400,extreme,true,false
2026-06-03,03 Jun,1171503,13103267.6593,8557169.1184,55645648.6510,-29439113.3324,43844527.3238,-26236738.2063,-0.5600,-0.4100,-0.5600,normal,false,false
2026-06-04,04 Jun,3688148.3700,11080546.1293,7096462.8939,53002463.2527,-30841370.9942,23936701.6988,-14292042.8313,-0.3500,0.8700,0.8700,normal,false,false
2026-06-05,05 Jun,95480.0700,10916641.7271,4996168.0467,52934833.3637,-31101549.9094,22654081.6988,-13522470.8313,-0.5200,-0.6400,-0.6400,normal,false,false